id,full_name,Free/CC Public Domain,Free/CC BY,Free/CC0,Free/RS NKC,Free with conditions/CC BY-SA,Free with conditions/CC BY-NC,Free with conditions/CC BY-NC-ND,Free with conditions/CC BY-NC-SA,Free with conditions/InC-EDU,Restricted/RS InC,Restricted/RS InC-RUU,Restricted/RS CNE,Restricted/RS UND
NNTA,National Trust of Australia (New South Wales). / National Trust of Australia (NSW) Archive/Library.,0,0,0,0,0,0,1,5,0,0,0,0,0
VNWM,National Wool Museum.,0,0,0,0,0,0,0,7794,0,0,0,0,0
VHCERB,Naval Heritage Collection. / HMAS Cerberus Museum.,0,0,0,0,0,0,0,59,0,0,0,0,0
VOCSA,Old Castlemaine Schoolboys Association Inc..,0,0,0,0,0,0,0,405,0,0,0,0,0
VORH:M,Orbost Historical Society Museum. / Orbost & District Historical Society.,0,0,0,0,0,0,0,2440,0,0,0,0,0
VPMEC,PMI Victorian History Library Inc..,0,0,0,0,0,0,0,1,0,0,0,0,0
APAR,Parliament of  Australia / Parliament of  Australia. Parliamentary Library.,0,0,0,0,0,0,1,1,0,0,0,0,0
VPID,Phillip Island and District Historical Society Inc.,0,0,0,0,0,0,0,2847,0,0,0,0,0
NPMM,Port Macquarie Historical Society / Port Macquarie Historical Society. Port Macquarie Museum.,0,0,0,0,0,0,0,1,0,0,0,0,0
VPMH,Port Melbourne Historical & Preservation Society.,0,0,0,0,0,0,0,7992,0,0,0,0,0
VPPLS,Port Phillip Library Service / Port Phillip Library Service. St Kilda Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
NMUS:E,Powerhouse Museum. / Exhibitions and  Programs.,0,0,0,0,0,0,0,0,0,0,0,1,0
NMUS,Powerhouse Museum. / Research Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VPRO,Public Record Office Victoria. / Victorian Archives Centre.,0,0,0,0,0,0,0,1,0,1,0,0,0
VPRO:VC,Public Record Office Victoria. / Victorian Collections records.,0,0,0,0,0,0,0,86,0,0,0,0,0
QDEH,QLD Dept of Environment and Science. / DES | Resources | RDMW.,0,2,0,0,0,0,0,0,0,0,0,0,0
QPM,Queensland Police Museum.,0,0,0,0,0,0,0,0,0,1,0,0,0
QUT:DC,Queensland University of Technology. / Digital Collections.,173,889,1139,0,0,1091,0,0,2,0,0,0,0
QUT:CJJ,"Queensland University of Technology. / International Journal for Crime, Justice and Social Democracy.",0,1,0,0,0,0,0,0,0,0,0,0,0
QUT:IR,Queensland University of Technology. / Queensland University of Technology: Institutional Repository.,0,3,0,0,21,10,60,18,43,0,0,0,0
VRSL,RSL Victoria - Anzac House Reference Library & Memorabilia Collection.,0,0,0,0,0,0,0,38,0,0,0,0,0
VRDH,Ringwood and District Historical Society.,0,0,0,0,0,0,0,8217,0,0,0,0,0
NCP,Royal Australasian College of Physicians / Royal Australasian College of Physicians. History of Medicine Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
NRHS,Royal Australian Historical Society / Royal Australian Historical Society. RAHS Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
SRGS,Royal Geographical Society of South Australia / Royal Geographical Society of South Australia. RGSSA Library.,0,0,0,4,0,0,0,1,0,0,0,0,0
VRHS,Royal Historical Society of Victoria / Royal Historical Society of Victoria. Royal Historical Society of Victoria.,0,0,0,0,0,0,0,28,0,0,0,0,0
VRGS,Ruyton Girls' School.,0,0,0,0,0,0,0,36,0,0,0,0,0
VSHGM,Sovereign Hill Gold Museum / Sovereign Hill Gold Museum. Sovereign Hill Gold Museum Library.,1,0,0,0,0,0,0,0,0,0,0,0,0
VSKHS,St Kilda Historical Society.,0,0,0,0,0,0,0,810,0,0,0,0,0
VU:M,St Mary's College & Newman College Academic Centre Library.,0,0,0,0,0,0,0,2,0,0,0,0,0
